parentUUID,rawTitle,cleanTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
28fb7f2a-1422-41f5-a334-4bf0d775a05f,LEGO Friends: Girls on a Mission: Season 2,LEGO Friends: Girls on a Mission: Season 2,14400000,Lego Friends: Girls on a Mission,100,https://www.imdb.com/title/tt9327146/,"Animation, Family",TV Series,6.6,161,4,18,23,42,1,,2,,2,,,,3,2,18,5,,,,1,,,11
c87ea574-db23-432f-8dca-c179fec7d808,My Little Pony: Tell Your Tale: Season 1,My Little Pony: Tell Your Tale: Season 1,5100000,My Little Pony: Tell Your Tale,100,https://www.imdb.com/title/tt18270744/,"Animation, Short, Adventure",TV Series,5.3,181,1,16,29,5,1,,,,,,,,3,,1,5,,,,,5,1,
d2f34f2f-fca6-4404-a178-f7e06e8262a6,Mismatched: Season 2 // मिसमैच्ड: सीज़न 2,Mismatched,8300000,Mismatched,100,https://www.imdb.com/title/tt12719250/,"Comedy, Drama, Romance",TV Series,5.9,6K,2,15,74,17,1,4,4,3,1,1,2,10,15,14,6,28,,24,2,4,17,2,8
5be1728f-1989-4a5b-897b-f6a59669dad2,Pokémon: The Arceus Chronicles,Pokémon: The Arceus Chronicles,5100000,Pokémon: The Arceus Chronicles,93.33,https://www.imdb.com/title/tt21970564/,"Animation, Action, Adventure",TV Mini Series,5.3,502,3,1,17,,1,,,1,,,,,,,,,,,,,,,1
e534e2da-4b5f-467e-ad20-1337484411c8,Ouran High School Host Club: Season 1 // 桜蘭高校ホスト部: シーズン1,Ouran High School Host Club,5100000,Ouran High School Host Club,100,https://www.imdb.com/title/tt1939256/,"Comedy, Romance",TV Series,7.5,824,,2,28,4,,,,,,,,,,,,,,,,,,,
672797ed-39fd-4d17-9c94-b71e9bb9bf2d,Samurai Rabbit: The Usagi Chronicles: Season 1,Samurai Rabbit: The Usagi Chronicles: Season 1,8200000,Samurai Rabbit: The Usagi Chronicles,100,https://www.imdb.com/title/tt12717354/,"Animation, Action, Adventure",TV Series,6.4,570,2,16,11,26,1,,3,1,1,,,,20,1,83,16,,,,7,33,,49
fb38a3e9-072d-4807-8ed3-ca3b7ff535f1,Pending Train: Season 1 // ペンディングトレイン―8時23分、明日 君と: シーズン1,Pending Train,5100000,Pending Train,100,https://www.imdb.com/title/tt27591951/,"Thriller, Drama, Sci-Fi",TV Series,5.9,466,1,1,67,,1,,,,,,,,,,,,,,,,1,,
1fe9fede-a423-492f-a4e1-e23fc27a508c,Nailed It!: Season 7,Nailed It!,13700000,Nailed It!,100,https://www.imdb.com/title/tt6987788/,"Game-Show, Reality-TV",TV Series,7.4,5.3K,1,,190,32,,1,15,4,2,1,1,4,4,2,25,15,,45,2,11,12,,69
c875d84d-06e0-4a11-9308-a667583aee1e,Neymar: The Perfect Chaos: Limited Series // Neymar: O Caos Perfeito: Minissérie,Neymar: The Perfect Chaos: Limited Series,5100000,Neymar: The Perfect Chaos,96,https://www.imdb.com/title/tt16428640/,"Documentary, Biography, Sport",TV Mini Series,6.6,4.4K,1,,15,26,1,1,3,,,,,,3,,,8,,5,,18,3,,8
29069063-3145-4572-b15d-c2967493e67e,Star Trek: Season 1,Star Trek,11000000,Star Trek,100,https://www.imdb.com/title/tt0060028/,"Action, Adventure, Sci-Fi",TV Series,8.4,92K,28,82,559,11,8,5,11,2,3,6,1,8,6,10,8,9,44,9,5,1,18,4,21
